source target weight
0 0 1.0
0 1 1.0
0 2 1.0
0 3 1.0
0 4 1.0
0 5 1.0
1 6 1.0
1 7 1.0
1 8 1.0
1 9 1.0
1 10 1.0
1 11 1.0
1 12 1.0
1 13 1.0
1 14 1.0
2 15 1.0
2 16 1.0
2 17 1.0
2 18 1.0
2 19 1.0
2 20 1.0
2 21 1.0
3 22 1.0
3 23 1.0
3 24 1.0
3 25 1.0
3 26 1.0
3 27 1.0
4 28 1.0
4 29 1.0
4 30 1.0
4 31 1.0
4 32 1.0
4 33 1.0
4 34 1.0
4 35 1.0
5 36 1.0
5 37 1.0
5 38 1.0
5 39 1.0
5 40 1.0
6 41 1.0
6 42 1.0
6 43 1.0
6 44 1.0
6 45 1.0
6 46 1.0
6 47 1.0
6 48 1.0
6 49 1.0
6 50 1.0
7 51 1.0
7 52 1.0
7 53 1.0
7 54 1.0
7 55 1.0
8 56 1.0
8 57 1.0
8 58 1.0
8 59 1.0
8 60 1.0
8 61 1.0
8 62 1.0
8 63 1.0
9 64 1.0
9 65 1.0
9 66 1.0
9 67 1.0
9 68 1.0
9 69 1.0
10 70 1.0
10 71 1.0
10 72 1.0
10 73 1.0
10 74 1.0
10 75 1.0
11 76 1.0
11 77 1.0
11 78 1.0
11 79 1.0
11 80 1.0
12 81 1.0
12 82 1.0
12 83 1.0
12 84 1.0
12 85 1.0
12 86 1.0
12 87 1.0
13 88 1.0
13 89 1.0
13 90 1.0
13 91 1.0
13 92 1.0
13 93 1.0
13 94 1.0
14 95 1.0
14 96 1.0
14 97 1.0
14 98 1.0
14 99 1.0
15 100 1.0
15 101 1.0
15 102 1.0
15 103 1.0
15 104 1.0
15 105 1.0
15 106 1.0
15 107 1.0
16 108 1.0
16 109 1.0
16 110 1.0
16 111 1.0
16 112 1.0
16 113 1.0
17 114 1.0
17 115 1.0
17 116 1.0
17 117 1.0
17 118 1.0
17 119 1.0
18 120 1.0
18 121 1.0
18 122 1.0
18 123 1.0
18 124 1.0
18 125 1.0
19 126 1.0
19 127 1.0
19 128 1.0
19 129 1.0
