longitude latitude
-102.262348 31.906736
-104.519139 29.888046
-101.647778 32.926389
-101.647778 32.926389
-101.388333 32.2075
-101.388333 32.2075
-104.624514 31.09348
-102.201433 30.931467
-102.201433 30.931467
-104.3 29.6
-104.3 29.6
-101.970461 30.028067
-103.161046 31.484586
-103.085134 31.169523
-104.005761 30.285296
-101.501775 31.763075
-102.413607 31.725171
-102.632933 31.799171
-102.132366 31.979427
-101.1167 31.9925
-101.1167 31.9925
-101.578617 32.929014
-101.578617 32.929014
-102.630882 31.969312
-101.22 32.039
-101.22 32.039
-102.042298 32.321673
-101.246784 32.879511
-102.081464 31.992384
-103.22236 29.802094
-103.759065 31.004969
-102.2417 31.2092
-102.2417 31.2092
-101.302637 31.991442
-101.302637 31.991442
-102.596253 31.186888
-102.47409 31.799158
-102.505808 30.772575
-102.505808 30.772575
-102.697303 32.335729
-101.3986 32.1408
-101.3986 32.1408
-101.3986 32.1408
-101.172783 31.272551
-102.20166 32.053604
-101.331239 30.575618
-102.9633 31.5839
-102.9633 31.5839
-102.9633 31.5839
-102.9633 31.5839
-102.9633 31.5839
-102.9633 31.5839
-102.9633 31.5839
-101.754488 32.489818
-101.764414 32.92701
-101.8367 32.2353
-101.8367 32.2353
-101.9208 30.8847
-101.9208 30.8847
-101.9208 30.8847
-101.422436 32.273182
-101.422436 32.273182
-101.422436 32.273182
-102.312423 32.001129
-101.451385 32.100823
-101.451385 32.100823
-101.365434 32.102911
-101.918007 31.517628
-102.0867 30.9178
-102.0867 30.9178
-102.3264 31.8403
-102.3264 31.8403
-102.3264 31.8403
-102.3264 31.8403
-102.3264 31.8403
-102.3264 31.8403
-102.3264 31.8403
-102.3264 31.8403
-102.3264 31.8403
-102.3264 31.8403
-102.3264 31.8403
-102.355628 30.807272
-102.790792 30.747459
-101.2983 31.9361
-103.138992 31.696251
-103.599914 31.803547
-101.78453 30.596998
-102.2253 31.1392
-102.133506 32.929648
-102.828333 31.995
-101.531037 33.658671
-95.344733 33.683869
-96.367605 33.628143
-96.367605 33.628143
-96.367605 33.628143
-96.367605 33.628143
-96.367605 33.628143
-95.900109 33.615167
-100.512868 34.857258
-98.721096 33.973297
-99.773497 33.899813
-101.310833 35.238333
-101.310833 35.238333
-101.310833 35.238333
-100.809848 34.447226
-97.445189 33.471617
-96.767394 33.627623
-101.253056 35.4275
-101.253056 35.4275
-101.253056 35.4275
-98.523064 33.943784
-95.5577 33.6968
-95.5577 33.6968
-95.5577 33.6968
-95.5577 33.6968
-98.491046 33.864515
-100.765905 35.830763
-95.320088 33.482646
-98.388757 34.004783
-101.287161 34.457478
-96.240654 33.708311
-100.384217 33.710684
-95.649137 33.857868
-96.179163 33.44144
-96.839764 33.830932
-99.853667 33.431837
-98.54367 33.894941
-97.310834 33.615855
-96.282897 33.55352
-97.751818 33.455991
-94.997258 33.663063
-101.578572 35.386038
-101.578572 35.386038
-96.839543 33.737974
-96.936121 33.743893
-98.509016 33.969523
-96.725989 33.800717
