longitude latitude
-157.93988887 21.34425335
-157.93988887 21.34425335
-157.87627385 21.34793378
-157.84876684 21.29314943
-157.84505284 21.31655439
-157.84505284 21.31655439
-157.82686883 21.29152413
-157.82422682 21.45173913
-157.82244383 21.27346806
-157.82244383 21.27346806
-157.82166282 21.35548607
-157.81075782 21.32021589
-157.78832781 21.29061751
-157.75818779 21.39508896
-157.75818779 21.39508896
-157.75026879 21.31106778
-157.71092377 21.33501689
-157.68874775 21.29452132
-157.93686687 21.41738135
-157.93422087 21.48253835
-157.88495185 21.40605989
-157.98383789 21.41747663
-157.98383789 21.41747663
-158.08220591 21.36311385
-158.0222819 21.34476375
-158.0222819 21.34476375
-157.97879188 21.65869968
-158.0480109 21.6213749
-157.94395287 21.61848647
-157.97938388 21.57139766
-158.18515094 21.56364774
-157.90539585 21.55775714
-158.16691893 21.46863377
-158.05809991 21.47850786
-158.10652792 21.30342682
-158.11388892 21.31167482
-158.12885293 21.35640281
-157.98383789 21.41747663
-158.0480109 21.6213749
-158.0480109 21.6213749
-158.0480109 21.6213749
-157.97879188 21.65869968
-157.97879188 21.65869968
-158.0222819 21.34476375
-158.0222819 21.34476375
-158.0222819 21.34476375
