source target weight
0 0 1.0
0 1 1.0
0 2 1.0
0 3 1.0
0 4 1.0
0 5 1.0
1 6 1.0
1 7 1.0
1 8 1.0
1 9 1.0
1 10 1.0
2 11 1.0
2 12 1.0
2 13 1.0
2 14 1.0
2 15 1.0
2 16 1.0
3 17 1.0
3 18 1.0
3 19 1.0
3 20 1.0
3 21 1.0
3 22 1.0
4 23 1.0
4 24 1.0
4 25 1.0
4 26 1.0
4 27 1.0
4 28 1.0
5 29 1.0
5 30 1.0
5 31 1.0
5 32 1.0
5 33 1.0
5 34 1.0
6 35 1.0
6 36 1.0
6 37 1.0
6 38 1.0
6 39 1.0
6 40 1.0
7 41 1.0
7 42 1.0
7 43 1.0
7 44 1.0
7 45 1.0
7 46 1.0
9 47 1.0
9 48 1.0
9 49 1.0
9 50 1.0
9 51 1.0
9 52 1.0
10 53 1.0
10 54 1.0
10 55 1.0
10 56 1.0
10 57 1.0
11 58 1.0
11 59 1.0
11 60 1.0
11 61 1.0
11 62 1.0
11 63 1.0
12 64 1.0
12 65 1.0
12 66 1.0
12 67 1.0
12 68 1.0
13 69 1.0
13 70 1.0
13 71 1.0
13 72 1.0
13 73 1.0
13 74 1.0
14 75 1.0
14 76 1.0
14 77 1.0
14 78 1.0
14 79 1.0
15 80 1.0
15 81 1.0
15 82 1.0
15 83 1.0
15 84 1.0
15 85 1.0
17 86 1.0
17 87 1.0
17 88 1.0
17 89 1.0
17 90 1.0
17 91 1.0
19 92 1.0
19 93 1.0
19 94 1.0
19 95 1.0
19 96 1.0
19 97 1.0
20 98 1.0
20 99 1.0
20 100 1.0
20 101 1.0
20 102 1.0
20 103 1.0
21 104 1.0
21 105 1.0
21 106 1.0
21 107 1.0
21 108 1.0
22 109 1.0
22 110 1.0
22 111 1.0
22 112 1.0
22 113 1.0
22 114 1.0
23 115 1.0
23 116 1.0
23 117 1.0
23 118 1.0
23 119 1.0
23 120 1.0
24 121 1.0
24 122 1.0
24 123 1.0
24 124 1.0
24 125 1.0
24 126 1.0
25 127 1.0
25 128 1.0
25 129 1.0
